date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-11-28,GO,Goiânia,city,212948,6917,611,True,1516113,1536097,5208707,13862.92663,0.0325
2021-11-25,GO,Goiânia,city,212746,6913,610,False,1516113,1536097,5208707,13849.77641,0.0325
2021-11-24,GO,Goiânia,city,212487,6910,609,False,1516113,1536097,5208707,13832.91550,0.0325
2021-11-23,GO,Goiânia,city,211854,6904,608,False,1516113,1536097,5208707,13791.70716,0.0326
2021-11-22,GO,Goiânia,city,211533,6902,607,False,1516113,1536097,5208707,13770.81005,0.0326
2021-11-21,GO,Goiânia,city,211392,6901,606,False,1516113,1536097,5208707,13761.63094,0.0326
2021-11-19,GO,Goiânia,city,211347,6895,605,False,1516113,1536097,5208707,13758.70144,0.0326
2021-11-18,GO,Goiânia,city,211176,6895,604,False,1516113,1536097,5208707,13747.56933,0.0327
2021-11-17,GO,Goiânia,city,210776,6895,603,False,1516113,1536097,5208707,13721.52930,0.0327
2021-11-16,GO,Goiânia,city,209866,6890,602,False,1516113,1536097,5208707,13662.28825,0.0328
2021-11-15,GO,Goiânia,city,209638,6888,601,False,1516113,1536097,5208707,13647.44544,0.0329
2021-11-14,GO,Goiânia,city,209616,6888,600,False,1516113,1536097,5208707,13646.01324,0.0329
2021-11-13,GO,Goiânia,city,209611,6888,599,False,1516113,1536097,5208707,13645.68774,0.0329
2021-11-12,GO,Goiânia,city,209604,6887,598,False,1516113,1536097,5208707,13645.23204,0.0329
2021-11-11,GO,Goiânia,city,208353,6887,597,False,1516113,1536097,5208707,13563.79187,0.0331
2021-11-10,GO,Goiânia,city,206854,6872,596,False,1516113,1536097,5208707,13466.20689,0.0332
2021-11-08,GO,Goiânia,city,205363,6872,595,False,1516113,1536097,5208707,13369.14270,0.0335
2021-11-07,GO,Goiânia,city,205283,6872,594,False,1516113,1536097,5208707,13363.93470,0.0335
2021-11-06,GO,Goiânia,city,205179,6872,593,False,1516113,1536097,5208707,13357.16429,0.0335
2021-11-04,GO,Goiânia,city,205001,6868,592,False,1516113,1536097,5208707,13345.57648,0.0335
2021-11-03,GO,Goiânia,city,204694,6827,591,False,1516113,1536097,5208707,13325.59077,0.0334
2021-11-02,GO,Goiânia,city,204303,6817,590,False,1516113,1536097,5208707,13300.13665,0.0334
2021-11-01,GO,Goiânia,city,204258,6816,589,False,1516113,1536097,5208707,13297.20714,0.0334
2021-10-31,GO,Goiânia,city,204130,6815,588,False,1516113,1536097,5208707,13288.87434,0.0334
2021-10-30,GO,Goiânia,city,204112,6814,587,False,1516113,1536097,5208707,13287.70253,0.0334
2021-10-29,GO,Goiânia,city,204097,6813,586,False,1516113,1536097,5208707,13286.72603,0.0334
2021-10-27,GO,Goiânia,city,203486,6778,585,False,1516113,1536097,5208707,13246.94990,0.0333
2021-10-26,GO,Goiânia,city,203437,6782,584,False,1516113,1536097,5208707,13243.76000,0.0333
2021-10-25,GO,Goiânia,city,203177,6778,583,False,1516113,1536097,5208707,13226.83398,0.0334
2021-10-24,GO,Goiânia,city,203067,6756,582,False,1516113,1536097,5208707,13219.67298,0.0333
2021-10-23,GO,Goiânia,city,203035,6756,581,False,1516113,1536097,5208707,13217.58977,0.0333
2021-10-22,GO,Goiânia,city,202989,6756,580,False,1516113,1536097,5208707,13214.59517,0.0333
2021-10-21,GO,Goiânia,city,202790,6749,579,False,1516113,1536097,5208707,13201.64026,0.0333
2021-10-20,GO,Goiânia,city,202453,6736,578,False,1516113,1536097,5208707,13179.70154,0.0333
2021-10-19,GO,Goiânia,city,202203,6728,577,False,1516113,1536097,5208707,13163.42653,0.0333
2021-10-18,GO,Goiânia,city,202033,6723,576,False,1516113,1536097,5208707,13152.35952,0.0333
2021-10-17,GO,Goiânia,city,201844,6719,575,False,1516113,1536097,5208707,13140.05561,0.0333
2021-10-16,GO,Goiânia,city,201826,6719,574,False,1516113,1536097,5208707,13138.88381,0.0333
2021-10-15,GO,Goiânia,city,201820,6718,573,False,1516113,1536097,5208707,13138.49321,0.0333
2021-10-14,GO,Goiânia,city,201755,6715,572,False,1516113,1536097,5208707,13134.26170,0.0333
2021-10-13,GO,Goiânia,city,201453,6699,571,False,1516113,1536097,5208707,13114.60149,0.0333
2021-10-12,GO,Goiânia,city,201151,6688,570,False,1516113,1536097,5208707,13094.94127,0.0332
2021-10-11,GO,Goiânia,city,201027,6687,569,False,1516113,1536097,5208707,13086.86886,0.0333
2021-10-10,GO,Goiânia,city,200988,6670,568,False,1516113,1536097,5208707,13084.32996,0.0332
2021-10-09,GO,Goiânia,city,200973,6669,567,False,1516113,1536097,5208707,13083.35346,0.0332
2021-10-08,GO,Goiânia,city,200912,6664,566,False,1516113,1536097,5208707,13079.38236,0.0332
2021-10-07,GO,Goiânia,city,200367,6659,565,False,1516113,1536097,5208707,13043.90283,0.0332
2021-10-06,GO,Goiânia,city,199896,6658,564,False,1516113,1536097,5208707,13013.24070,0.0333
2021-10-05,GO,Goiânia,city,199406,6646,563,False,1516113,1536097,5208707,12981.34167,0.0333
2021-10-04,GO,Goiânia,city,199136,6613,562,False,1516113,1536097,5208707,12963.76466,0.0332
2021-10-03,GO,Goiânia,city,198893,6613,561,False,1516113,1536097,5208707,12947.94534,0.0332
